Seconds lapsed,tank level,tank inflow
9610,1208,20.683778762817383
9620,1188,18.000505447387695
9630,1187,19.935544967651367
9640,1189,20.296045303344727
9650,1138,14.917665481567383
9660,1161,22.388442993164063
9670,1129,16.83103370666504
9680,1140,21.133193969726563
9690,1155,21.567346572875977
9700,1188,23.32538604736328
9710,1229,24.117408752441406
9720,1242,21.398256301879883
9730,1200,15.852385520935059
9740,1263,26.341655731201172
9750,1259,19.645551681518555
9760,1228,16.97476577758789
9770,1250,22.21923828125
9780,1281,23.115642547607422
9790,1236,15.508734703063965
9800,1215,17.91326141357422
9810,1235,22.070219039916992
9820,1250,21.570606231689453
9830,1286,23.638774871826172
9840,1283,19.748056411743164
9850,1291,20.866796493530273
9860,1339,24.860370635986328
9870,1410,27.125476837158203
9880,1389,17.998157501220703
9890,1397,20.86539077758789
9900,1388,19.166330337524414
9910,1406,21.88058853149414
9920,1389,18.30012321472168
9930,1310,12.169852256774902
9940,1328,21.818599700927734
9950,1330,20.240022659301758
9960,1305,17.59028434753418
9970,1270,16.575227737426758
9980,1293,22.360288619995117
